TDMA Log File
2012/18/06 20:31:15

K	Rounds	Transmissions
5	37	5
5	38	5
5	39	5
5	40	5
5	41	5
5	42	5
5	43	5
5	44	5
5	45	5
5	46	5
5	47	5
5	48	5
5	49	5
5	50	5
5	51	5
5	52	5
5	53	5
5	54	5
5	55	5
5	56	5
5	57	5
5	58	5
5	59	5
5	60	5
5	61	5
5	62	5
5	63	5
5	64	5
5	65	5
5	66	5
5	67	5
5	68	5
5	69	5
5	70	5
5	71	5
5	72	5
5	73	5
5	74	5
5	75	5
5	76	8
5	77	5
5	78	6
5	79	5
5	80	8
5	81	5
5	82	5
5	83	5
5	84	5
5	85	6
5	86	6
5	87	8
5	88	6
5	89	7
5	90	6
5	91	7
5	92	6
5	93	6
5	94	5
5	95	5
5	96	5
5	97	7
5	98	6
5	99	11
5	100	7
5	101	11
5	102	5
5	103	6
5	104	17
5	105	9
5	106	58
5	107	59
5	108	5
5	109	9
5	110	5
5	111	10
5	112	8
5	113	9
5	114	7
5	115	5
5	116	11
5	117	5
5	118	7
5	119	7
5	120	8
5	121	5
5	122	39
5	123	8
5	124	6
5	125	5
5	126	5
5	127	5
5	128	6
5	129	5
5	130	8
5	131	5
5	132	5
5	133	5
5	134	44
5	135	32
5	136	26
5	137	13
5	138	7
5	139	8
5	140	5
5	141	5
5	142	5
5	143	5
5	144	6
5	145	6
5	146	5
5	147	5
5	148	5
5	43	5
5	44	5
5	45	6
5	46	5
5	47	5
5	48	6
5	49	5
5	50	5
5	51	5
5	52	5
5	53	5
5	54	5
5	55	5
5	56	5
5	57	5
5	58	5
5	59	5
5	60	5
5	61	5
5	62	5
5	63	5
5	64	5
5	65	5
5	66	5
5	67	5
5	68	5
5	69	5
5	70	5
5	71	5
5	418	5
5	419	5
5	420	6
5	421	5
5	422	5
5	423	5
5	424	5
5	425	5
5	426	5
5	427	5
5	428	5
5	429	5
5	430	5
5	431	5
5	432	5
5	433	5
5	434	5
5	435	5
5	436	5
5	437	5
5	438	5
5	439	5
5	440	6
5	441	5
5	442	5
5	443	5
5	444	6
5	445	5
5	446	5
5	447	5
5	448	5
5	449	5
5	450	5
5	451	5
5	452	5
5	453	5
5	454	5
5	455	5
5	456	5
5	457	5
5	458	5
5	459	5
5	460	5
5	461	6
5	462	5
5	463	5
5	464	5
5	465	5
5	466	5
5	467	5
5	468	5
5	469	5
5	470	5
5	471	5
5	472	5
5	473	6
5	474	5
5	475	5
5	476	5
5	477	5
5	478	5
5	479	5
5	480	5
5	481	5
5	482	5
5	483	5
5	484	5
5	485	5
5	486	5
5	487	5
5	488	5
5	489	6
5	490	5
5	491	5
5	492	5
5	493	5
5	494	5
5	495	5
5	496	5
5	497	5
5	498	5
5	499	5
5	500	5
5	501	5
5	502	5
5	503	5
5	504	5
5	505	5
5	506	5
5	507	5
5	508	5
5	509	5
5	510	5
5	511	5
5	512	5
5	513	5
5	514	5
5	515	5
5	516	5
5	517	5
5	518	5
5	519	5
5	520	5
5	521	5
5	522	5
5	523	5
5	524	5
5	525	5
5	526	5
5	527	5
5	528	5
5	529	5
5	530	6
5	531	5
5	532	5
5	533	5
5	534	5
5	535	5
5	536	5
5	537	5
5	538	5
5	539	5
5	540	5
5	541	5
5	542	5
5	543	5
5	544	5
