Index Coding (Basic Antidotes) Log File
2012/10/12 11:00:57

N	PIECES	numTDMA	numIndex	epsAvg	epsVec
8	4	23	5	0.33036	[[ 0.429  0.214  0.5    0.429  0.179  0.214  0.321  0.357]]
8	4	15	7	0.35795	[[ 0.364  0.273  0.591  0.318  0.273  0.273  0.227  0.545]]
8	4	12	5	0.31618	[[ 0.412  0.353  0.294  0.176  0.176  0.294  0.294  0.529]]
8	4	12	7	0.36842	[[ 0.263  0.263  0.368  0.421  0.421  0.421  0.211  0.579]]
8	4	13	7	0.35625	[[ 0.4   0.15  0.35  0.45  0.25  0.45  0.3   0.5 ]]
8	4	15	5	0.34375	[[ 0.3   0.4   0.35  0.3   0.15  0.35  0.35  0.55]]
8	4	14	6	0.40000	[[ 0.5   0.25  0.4   0.5   0.3   0.45  0.15  0.65]]
8	4	12	5	0.33088	[[ 0.412  0.235  0.353  0.471  0.118  0.529  0.176  0.353]]
8	4	13	7	0.32500	[[ 0.35  0.3   0.35  0.25  0.3   0.45  0.2   0.4 ]]
8	4	14	7	0.40476	[[ 0.238  0.429  0.429  0.524  0.476  0.429  0.143  0.571]]
8	4	11	6	0.25735	[[ 0.235  0.353  0.176  0.412  0.235  0.176  0.059  0.412]]
8	4	19	6	0.36500	[[ 0.4   0.32  0.32  0.56  0.32  0.32  0.24  0.44]]
8	4	16	7	0.41848	[[ 0.304  0.478  0.522  0.609  0.478  0.348  0.261  0.348]]
8	4	14	5	0.37500	[[ 0.368  0.421  0.263  0.526  0.474  0.263  0.211  0.474]]
8	4	14	5	0.30921	[[ 0.263  0.263  0.474  0.368  0.421  0.105  0.053  0.526]]
8	4	12	7	0.31579	[[ 0.316  0.316  0.368  0.474  0.263  0.211  0.158  0.421]]
8	4	14	4	0.38194	[[ 0.444  0.611  0.389  0.333  0.611  0.111  0.056  0.5  ]]
8	4	13	5	0.36806	[[ 0.389  0.333  0.5    0.278  0.444  0.389  0.167  0.444]]
8	4	12	7	0.43421	[[ 0.526  0.579  0.368  0.526  0.316  0.421  0.211  0.526]]
8	4	8	4	0.23958	[[ 0.333  0.333  0.417  0.25   0.25   0.167  0.     0.167]]
8	4	9	6	0.27500	[[ 0.267  0.2    0.467  0.267  0.333  0.067  0.2    0.4  ]]
8	4	12	4	0.30469	[[ 0.375  0.438  0.312  0.25   0.375  0.375  0.062  0.25 ]]
8	4	10	7	0.31618	[[ 0.353  0.235  0.412  0.353  0.412  0.294  0.059  0.412]]
8	4	18	6	0.32292	[[ 0.333  0.208  0.375  0.625  0.375  0.25   0.083  0.333]]
8	4	19	6	0.36500	[[ 0.36  0.32  0.52  0.36  0.32  0.4   0.12  0.52]]
8	4	12	4	0.35938	[[ 0.312  0.25   0.562  0.562  0.312  0.375  0.125  0.375]]
8	4	12	6	0.38889	[[ 0.278  0.278  0.389  0.5    0.389  0.5    0.333  0.444]]
8	4	15	7	0.32386	[[ 0.364  0.273  0.455  0.455  0.182  0.273  0.318  0.273]]
8	4	10	7	0.33088	[[ 0.235  0.412  0.412  0.412  0.412  0.176  0.059  0.529]]
8	4	12	4	0.29688	[[ 0.438  0.25   0.375  0.562  0.188  0.25   0.062  0.25 ]]
8	4	14	6	0.37500	[[ 0.4   0.35  0.65  0.55  0.25  0.25  0.1   0.45]]
8	4	16	5	0.33929	[[ 0.429  0.286  0.619  0.571  0.     0.286  0.095  0.429]]
8	4	18	5	0.40217	[[ 0.696  0.435  0.478  0.391  0.391  0.174  0.174  0.478]]
8	4	13	10	0.32065	[[ 0.696  0.261  0.348  0.087  0.261  0.348  0.174  0.391]]
8	4	12	6	0.29167	[[ 0.389  0.278  0.333  0.111  0.333  0.278  0.278  0.333]]
8	4	13	5	0.36806	[[ 0.556  0.333  0.222  0.333  0.333  0.556  0.167  0.444]]
8	4	8	8	0.26562	[[ 0.25   0.438  0.188  0.188  0.438  0.188  0.062  0.375]]
8	4	11	7	0.33333	[[ 0.444  0.333  0.5    0.278  0.333  0.389  0.056  0.333]]
8	4	14	5	0.34868	[[ 0.368  0.263  0.316  0.263  0.421  0.632  0.211  0.316]]
8	4	13	6	0.32237	[[ 0.368  0.263  0.368  0.158  0.368  0.474  0.105  0.474]]
8	4	10	5	0.31667	[[ 0.467  0.467  0.267  0.2    0.333  0.133  0.133  0.533]]
