Index Coding (Basic Antidotes) Log File
2012/10/12 11:36:04

N	PIECES	numTDMA	numIndex	epsAvg	epsVec
8	4	14	8	0.34659	[[ 0.364  0.273  0.455  0.455  0.273  0.227  0.273  0.455]]
8	4	15	8	0.31522	[[ 0.391  0.435  0.348  0.391  0.304  0.174  0.     0.478]]
8	4	20	10	0.35000	[[ 0.367  0.333  0.367  0.533  0.333  0.233  0.233  0.4  ]]
8	4	22	9	0.43548	[[ 0.484  0.355  0.516  0.452  0.581  0.387  0.258  0.452]]
8	4	12	7	0.30921	[[ 0.158  0.316  0.421  0.368  0.316  0.368  0.211  0.316]]
8	4	12	8	0.27500	[[ 0.3   0.25  0.45  0.35  0.15  0.2   0.2   0.3 ]]
8	4	14	9	0.26630	[[ 0.304  0.217  0.478  0.304  0.261  0.043  0.261  0.261]]
8	4	11	8	0.30263	[[ 0.368  0.158  0.368  0.368  0.158  0.368  0.     0.632]]
8	4	14	9	0.30978	[[ 0.391  0.304  0.435  0.478  0.174  0.174  0.087  0.435]]
8	4	13	9	0.27841	[[ 0.318  0.364  0.318  0.364  0.182  0.273  0.091  0.318]]
8	4	11	7	0.35417	[[ 0.444  0.278  0.333  0.5    0.333  0.389  0.111  0.444]]
8	4	14	7	0.28571	[[ 0.238  0.143  0.476  0.524  0.19   0.286  0.095  0.333]]
8	4	13	8	0.33333	[[ 0.333  0.429  0.429  0.429  0.286  0.381  0.095  0.286]]
8	4	15	9	0.29688	[[ 0.25   0.208  0.5    0.417  0.167  0.125  0.25   0.458]]
8	4	12	8	0.26875	[[ 0.4   0.2   0.35  0.3   0.25  0.2   0.15  0.3 ]]
8	4	14	7	0.33929	[[ 0.333  0.333  0.619  0.381  0.143  0.143  0.143  0.619]]
8	4	9	10	0.29605	[[ 0.526  0.263  0.368  0.421  0.158  0.158  0.158  0.316]]
8	4	9	10	0.27632	[[ 0.263  0.263  0.421  0.211  0.316  0.158  0.158  0.421]]
8	4	12	7	0.27632	[[ 0.263  0.316  0.368  0.421  0.105  0.158  0.263  0.316]]
8	4	13	7	0.33125	[[ 0.3   0.4   0.4   0.35  0.35  0.25  0.15  0.45]]
8	4	16	8	0.33854	[[ 0.333  0.292  0.5    0.375  0.375  0.292  0.167  0.375]]
8	4	12	7	0.23684	[[ 0.158  0.158  0.368  0.421  0.053  0.105  0.105  0.526]]
8	4	10	9	0.32895	[[ 0.211  0.316  0.263  0.421  0.316  0.263  0.263  0.579]]
8	4	12	16	0.41964	[[ 0.464  0.393  0.571  0.357  0.321  0.393  0.357  0.5  ]]
8	4	14	9	0.33696	[[ 0.304  0.174  0.391  0.391  0.304  0.217  0.304  0.609]]
8	4	11	7	0.29861	[[ 0.389  0.389  0.333  0.389  0.167  0.222  0.056  0.444]]
8	4	9	8	0.29412	[[ 0.176  0.118  0.353  0.412  0.353  0.235  0.235  0.471]]
8	4	16	8	0.31771	[[ 0.333  0.208  0.417  0.417  0.25   0.25   0.125  0.542]]
8	4	9	8	0.27941	[[ 0.176  0.412  0.353  0.294  0.294  0.353  0.176  0.176]]
8	4	11	7	0.37500	[[ 0.444  0.278  0.444  0.5    0.389  0.333  0.222  0.389]]
8	4	10	7	0.22794	[[ 0.235  0.176  0.294  0.412  0.176  0.235  0.059  0.235]]
8	4	14	9	0.34239	[[ 0.391  0.304  0.174  0.478  0.217  0.391  0.174  0.609]]
8	4	9	8	0.32353	[[ 0.294  0.176  0.647  0.235  0.176  0.353  0.176  0.529]]
8	4	12	7	0.28947	[[ 0.263  0.105  0.316  0.632  0.368  0.211  0.     0.421]]
8	4	12	8	0.24375	[[ 0.2   0.25  0.25  0.35  0.2   0.25  0.1   0.35]]
8	4	12	7	0.28947	[[ 0.316  0.105  0.474  0.368  0.368  0.263  0.105  0.316]]
8	4	18	7	0.34000	[[ 0.44  0.28  0.44  0.48  0.2   0.2   0.12  0.56]]
8	4	12	8	0.35000	[[ 0.3   0.3   0.45  0.5   0.15  0.3   0.2   0.6 ]]
8	4	13	8	0.30357	[[ 0.19   0.333  0.333  0.476  0.143  0.286  0.095  0.571]]
8	4	18	8	0.32692	[[ 0.346  0.346  0.423  0.462  0.346  0.154  0.077  0.462]]
8	4	12	7	0.35526	[[ 0.421  0.316  0.263  0.211  0.526  0.474  0.105  0.526]]
8	4	13	8	0.26786	[[ 0.429  0.143  0.286  0.19   0.238  0.429  0.095  0.333]]
8	4	22	8	0.35833	[[ 0.433  0.367  0.467  0.1    0.333  0.367  0.367  0.433]]
8	4	15	8	0.34239	[[ 0.391  0.348  0.348  0.261  0.174  0.565  0.217  0.435]]
8	4	8	9	0.25735	[[ 0.235  0.176  0.118  0.     0.353  0.529  0.235  0.412]]
8	4	10	8	0.31944	[[ 0.389  0.167  0.389  0.056  0.333  0.278  0.556  0.389]]
8	4	18	8	0.35577	[[ 0.346  0.077  0.538  0.154  0.308  0.538  0.462  0.423]]
8	4	13	15	0.34375	[[ 0.429  0.286  0.393  0.107  0.393  0.393  0.214  0.536]]
8	4	18	8	0.37500	[[ 0.5    0.269  0.385  0.192  0.269  0.577  0.308  0.5  ]]
8	4	12	9	0.29762	[[ 0.238  0.381  0.238  0.19   0.19   0.381  0.286  0.476]]
8	4	15	8	0.32609	[[ 0.348  0.435  0.304  0.13   0.261  0.565  0.217  0.348]]
8	4	19	10	0.38362	[[ 0.517  0.448  0.31   0.345  0.345  0.379  0.345  0.379]]
8	4	29	37	0.32765	[[ 0.288  0.197  0.333  0.121  0.227  0.894  0.212  0.348]]
8	4	12	9	0.29167	[[ 0.286  0.238  0.286  0.19   0.19   0.667  0.238  0.238]]
8	4	14	9	0.28804	[[ 0.261  0.043  0.391  0.087  0.217  0.391  0.304  0.609]]
8	4	13	7	0.33750	[[ 0.4   0.1   0.35  0.3   0.2   0.65  0.25  0.45]]
8	4	12	13	0.32000	[[ 0.28  0.16  0.28  0.28  0.36  0.56  0.24  0.4 ]]
8	4	29	36	0.34423	[[ 0.385  0.215  0.246  0.262  0.185  0.877  0.231  0.354]]
8	4	12	9	0.37500	[[ 0.429  0.238  0.381  0.286  0.381  0.571  0.238  0.476]]
8	4	11	11	0.29545	[[ 0.409  0.091  0.364  0.273  0.227  0.455  0.227  0.318]]
8	4	11	7	0.27083	[[ 0.167  0.056  0.278  0.111  0.167  0.278  0.667  0.444]]
8	4	16	8	0.33333	[[ 0.25   0.208  0.25   0.25   0.167  0.417  0.583  0.542]]
8	4	17	9	0.28846	[[ 0.192  0.154  0.423  0.077  0.154  0.5    0.346  0.462]]
8	4	11	8	0.33553	[[ 0.368  0.158  0.211  0.263  0.158  0.474  0.526  0.526]]
