Index Coding (Basic Antidotes,Structured) Log File
2012/07/12 11:19:51

N	PIECES	numTDMA	numIndex	epsAvg	epsVec
8	4	8	6	0.32143	[[ 0.357  0.429  0.643  0.571  0.     0.143  0.071  0.357]]
8	4	13	4	0.18382	[[ 0.059  0.412  0.235  0.471  0.176  0.059  0.059  0.   ]]
8	4	11	5	0.32031	[[ 0.312  0.438  0.25   0.562  0.125  0.312  0.25   0.312]]
8	4	14	7	0.26786	[[ 0.143  0.381  0.571  0.429  0.19   0.19   0.19   0.048]]
8	4	13	5	0.27778	[[ 0.278  0.389  0.389  0.5    0.222  0.222  0.167  0.056]]
8	4	18	5	0.35326	[[ 0.391  0.304  0.304  0.609  0.304  0.391  0.174  0.348]]
8	4	10	5	0.22500	[[ 0.4    0.333  0.333  0.267  0.133  0.2    0.     0.133]]
8	4	18	6	0.30208	[[ 0.208  0.458  0.417  0.375  0.208  0.333  0.25   0.167]]
8	4	16	6	0.31818	[[ 0.273  0.273  0.364  0.364  0.273  0.5    0.318  0.182]]
8	4	9	8	0.19853	[[ 0.294  0.353  0.294  0.235  0.118  0.176  0.     0.118]]
8	4	15	6	0.30357	[[ 0.381  0.286  0.19   0.333  0.238  0.238  0.333  0.429]]
8	4	12	6	0.27083	[[ 0.389  0.222  0.278  0.333  0.167  0.333  0.333  0.111]]
8	4	15	6	0.25000	[[ 0.286  0.381  0.286  0.286  0.143  0.095  0.286  0.238]]
8	4	10	6	0.26562	[[ 0.312  0.312  0.375  0.312  0.25   0.188  0.188  0.188]]
8	4	12	6	0.29861	[[ 0.333  0.167  0.278  0.556  0.389  0.111  0.222  0.333]]
8	4	12	5	0.29412	[[ 0.118  0.353  0.412  0.471  0.235  0.294  0.235  0.235]]
8	4	12	5	0.35294	[[ 0.471  0.235  0.412  0.588  0.353  0.294  0.235  0.235]]
8	4	11	5	0.21875	[[ 0.188  0.25   0.25   0.5    0.188  0.     0.188  0.188]]
8	4	12	4	0.28125	[[ 0.312  0.5    0.312  0.5    0.312  0.125  0.062  0.125]]
8	4	8	4	0.22917	[[ 0.333  0.583  0.167  0.333  0.083  0.083  0.167  0.083]]
8	4	14	5	0.21711	[[ 0.421  0.368  0.211  0.211  0.053  0.158  0.158  0.158]]
8	4	14	5	0.32237	[[ 0.263  0.368  0.368  0.474  0.211  0.263  0.158  0.474]]
8	4	14	4	0.28472	[[ 0.444  0.556  0.222  0.278  0.167  0.167  0.278  0.167]]
8	4	12	5	0.26471	[[ 0.412  0.294  0.412  0.294  0.118  0.176  0.294  0.118]]
8	4	9	5	0.22321	[[ 0.357  0.214  0.429  0.071  0.143  0.071  0.357  0.143]]
8	4	13	5	0.33333	[[ 0.389  0.389  0.278  0.5    0.167  0.222  0.5    0.222]]
8	4	11	4	0.28333	[[ 0.333  0.333  0.467  0.2    0.133  0.267  0.2    0.333]]
8	4	14	5	0.24342	[[ 0.316  0.368  0.211  0.474  0.     0.158  0.211  0.211]]
8	4	15	5	0.31875	[[ 0.2   0.5   0.5   0.4   0.15  0.1   0.35  0.35]]
8	4	10	5	0.20000	[[ 0.133  0.4    0.2    0.267  0.133  0.2    0.067  0.2  ]]
8	4	12	4	0.31250	[[ 0.438  0.375  0.438  0.312  0.062  0.375  0.312  0.188]]
8	4	12	4	0.28125	[[ 0.312  0.25   0.438  0.375  0.25   0.25   0.188  0.188]]
8	4	8	6	0.16964	[[ 0.214  0.214  0.     0.429  0.071  0.071  0.214  0.143]]
8	4	12	6	0.26389	[[ 0.278  0.444  0.278  0.167  0.167  0.222  0.333  0.222]]
8	4	14	6	0.27500	[[ 0.2   0.5   0.4   0.25  0.05  0.15  0.4   0.25]]
8	4	13	5	0.29861	[[ 0.222  0.333  0.222  0.333  0.333  0.389  0.278  0.278]]
8	4	10	6	0.23438	[[ 0.188  0.25   0.312  0.438  0.25   0.188  0.125  0.125]]
8	4	12	4	0.28125	[[ 0.438  0.375  0.5    0.312  0.125  0.125  0.188  0.188]]
8	4	16	5	0.36310	[[ 0.238  0.429  0.476  0.571  0.333  0.143  0.333  0.381]]
8	4	16	6	0.31250	[[ 0.227  0.5    0.409  0.364  0.227  0.273  0.318  0.182]]
8	4	8	7	0.17500	[[ 0.     0.267  0.333  0.333  0.067  0.2    0.067  0.133]]
8	4	12	4	0.21875	[[ 0.062  0.438  0.312  0.312  0.125  0.312  0.     0.188]]
8	4	11	5	0.27344	[[ 0.062  0.188  0.5    0.375  0.312  0.375  0.125  0.25 ]]
8	4	13	5	0.23611	[[ 0.167  0.333  0.389  0.167  0.     0.556  0.056  0.222]]
8	4	16	4	0.29375	[[ 0.25  0.1   0.5   0.3   0.35  0.35  0.2   0.3 ]]
8	4	10	4	0.20536	[[ 0.     0.214  0.429  0.429  0.214  0.286  0.     0.071]]
8	4	16	5	0.33929	[[ 0.286  0.238  0.476  0.333  0.333  0.571  0.381  0.095]]
8	4	16	5	0.35119	[[ 0.429  0.476  0.429  0.429  0.238  0.143  0.238  0.429]]
8	4	12	5	0.29412	[[ 0.118  0.235  0.412  0.588  0.294  0.353  0.176  0.176]]
8	4	12	7	0.27632	[[ 0.316  0.368  0.368  0.263  0.105  0.158  0.316  0.316]]
8	4	10	4	0.36607	[[ 0.286  0.357  0.643  0.571  0.286  0.214  0.429  0.143]]
8	4	11	4	0.25833	[[ 0.2    0.2    0.333  0.267  0.133  0.467  0.2    0.267]]
8	4	11	4	0.31667	[[ 0.333  0.2    0.4    0.4    0.333  0.333  0.2    0.333]]
8	4	13	4	0.28676	[[ 0.235  0.176  0.353  0.235  0.294  0.294  0.294  0.412]]
8	4	11	5	0.28906	[[ 0.25   0.188  0.312  0.438  0.188  0.5    0.188  0.25 ]]
8	4	11	5	0.25000	[[ 0.062  0.438  0.562  0.125  0.062  0.25   0.125  0.375]]
8	4	12	8	0.31875	[[ 0.3   0.1   0.65  0.45  0.3   0.35  0.35  0.05]]
8	4	16	5	0.32143	[[ 0.286  0.238  0.571  0.333  0.381  0.286  0.238  0.238]]
8	4	12	6	0.28472	[[ 0.278  0.278  0.333  0.333  0.222  0.333  0.222  0.278]]
8	4	11	5	0.30469	[[ 0.188  0.375  0.625  0.5    0.188  0.062  0.312  0.188]]
8	4	11	5	0.26562	[[ 0.188  0.188  0.375  0.438  0.188  0.562  0.062  0.125]]
8	4	12	5	0.30882	[[ 0.118  0.412  0.294  0.588  0.176  0.529  0.118  0.235]]
8	4	15	4	0.30263	[[ 0.158  0.263  0.474  0.368  0.368  0.263  0.368  0.158]]
8	4	15	5	0.31250	[[ 0.15  0.15  0.4   0.3   0.35  0.55  0.25  0.35]]
8	4	12	5	0.33088	[[ 0.118  0.294  0.471  0.412  0.118  0.647  0.176  0.412]]
8	4	12	6	0.29861	[[ 0.167  0.389  0.5    0.278  0.333  0.333  0.167  0.222]]
8	4	13	5	0.36806	[[ 0.167  0.389  0.389  0.222  0.5    0.556  0.333  0.389]]
8	4	10	6	0.31250	[[ 0.188  0.188  0.5    0.312  0.188  0.438  0.188  0.5  ]]
8	4	11	6	0.34559	[[ 0.176  0.588  0.294  0.353  0.412  0.353  0.294  0.294]]
8	4	11	6	0.25735	[[ 0.235  0.176  0.412  0.353  0.118  0.353  0.294  0.118]]
8	4	9	6	0.22500	[[ 0.067  0.333  0.267  0.4    0.133  0.267  0.133  0.2  ]]
8	4	10	6	0.24219	[[ 0.312  0.188  0.25   0.375  0.188  0.188  0.188  0.25 ]]
8	4	9	4	0.23077	[[ 0.077  0.077  0.231  0.308  0.154  0.538  0.077  0.385]]
8	4	12	4	0.33594	[[ 0.312  0.312  0.5    0.375  0.312  0.562  0.188  0.125]]
8	4	11	5	0.27344	[[ 0.25   0.25   0.375  0.562  0.125  0.25   0.125  0.25 ]]
8	4	10	5	0.19167	[[ 0.067  0.133  0.267  0.4    0.067  0.4    0.133  0.067]]
8	4	9	6	0.18333	[[ 0.2    0.267  0.333  0.267  0.067  0.133  0.133  0.067]]
8	4	8	5	0.23077	[[ 0.231  0.308  0.462  0.077  0.077  0.231  0.385  0.077]]
8	4	14	6	0.27500	[[ 0.2   0.35  0.4   0.2   0.2   0.25  0.25  0.35]]
8	4	13	5	0.25694	[[ 0.111  0.5    0.611  0.389  0.167  0.167  0.056  0.056]]
8	4	9	5	0.30357	[[ 0.214  0.214  0.429  0.286  0.214  0.286  0.5    0.286]]
8	4	15	6	0.28571	[[ 0.19   0.286  0.286  0.238  0.286  0.429  0.19   0.381]]
8	4	9	5	0.23214	[[ 0.071  0.143  0.643  0.286  0.071  0.357  0.143  0.143]]
8	4	11	7	0.29167	[[ 0.167  0.389  0.389  0.222  0.111  0.444  0.222  0.389]]
8	4	14	4	0.34028	[[ 0.056  0.389  0.444  0.444  0.278  0.5    0.333  0.278]]
8	4	9	5	0.30357	[[ 0.214  0.286  0.357  0.214  0.286  0.357  0.286  0.429]]
8	4	15	6	0.33333	[[ 0.19   0.286  0.524  0.429  0.238  0.381  0.238  0.381]]
8	4	13	5	0.36111	[[ 0.333  0.444  0.444  0.222  0.5    0.278  0.333  0.333]]
8	4	13	5	0.27083	[[ 0.167  0.222  0.389  0.222  0.278  0.389  0.278  0.222]]
8	4	12	5	0.35294	[[ 0.235  0.412  0.353  0.412  0.118  0.529  0.235  0.529]]
8	4	15	5	0.36875	[[ 0.3   0.3   0.5   0.45  0.3   0.45  0.15  0.5 ]]
8	4	12	5	0.33824	[[ 0.176  0.235  0.412  0.412  0.471  0.471  0.353  0.176]]
8	4	17	6	0.33696	[[ 0.304  0.348  0.565  0.348  0.348  0.304  0.087  0.391]]
8	4	11	5	0.24219	[[ 0.125  0.125  0.312  0.312  0.312  0.438  0.125  0.188]]
8	4	12	5	0.26471	[[ 0.176  0.235  0.353  0.353  0.176  0.353  0.235  0.235]]
8	4	12	5	0.27206	[[ 0.176  0.529  0.294  0.176  0.294  0.235  0.118  0.353]]
8	4	13	5	0.26389	[[ 0.111  0.167  0.444  0.278  0.222  0.444  0.222  0.222]]
8	4	12	7	0.28947	[[ 0.105  0.316  0.263  0.526  0.368  0.368  0.053  0.316]]
8	4	9	6	0.25000	[[ 0.133  0.2    0.4    0.4    0.333  0.2    0.2    0.133]]
8	4	12	4	0.28906	[[ 0.188  0.375  0.312  0.188  0.188  0.5    0.25   0.312]]
8	4	10	6	0.25000	[[ 0.25   0.188  0.312  0.188  0.125  0.438  0.125  0.375]]
8	4	16	4	0.31250	[[ 0.25  0.35  0.45  0.25  0.3   0.5   0.1   0.3 ]]
8	4	13	7	0.29375	[[ 0.3   0.25  0.4   0.4   0.2   0.2   0.05  0.55]]
8	4	10	4	0.24107	[[ 0.071  0.143  0.571  0.357  0.     0.357  0.286  0.143]]
8	4	12	5	0.28676	[[ 0.235  0.235  0.471  0.471  0.176  0.294  0.176  0.235]]
8	4	10	5	0.26667	[[ 0.067  0.267  0.533  0.333  0.133  0.533  0.     0.267]]
8	4	13	5	0.27083	[[ 0.167  0.278  0.5    0.333  0.111  0.333  0.167  0.278]]
8	4	14	6	0.26250	[[ 0.15  0.2   0.45  0.45  0.15  0.45  0.15  0.1 ]]
8	4	9	5	0.20536	[[ 0.214  0.214  0.286  0.143  0.143  0.357  0.071  0.214]]
8	4	12	4	0.25000	[[ 0.312  0.125  0.188  0.125  0.312  0.375  0.25   0.312]]
8	4	19	4	0.26630	[[ 0.174  0.304  0.261  0.304  0.174  0.522  0.13   0.261]]
8	4	8	5	0.16346	[[ 0.     0.231  0.385  0.154  0.077  0.308  0.     0.154]]
8	4	10	6	0.22656	[[ 0.25   0.188  0.188  0.188  0.375  0.25   0.125  0.25 ]]
8	4	9	5	0.25893	[[ 0.286  0.286  0.143  0.286  0.214  0.286  0.143  0.429]]
8	4	11	5	0.25781	[[ 0.25   0.438  0.25   0.375  0.125  0.312  0.     0.312]]
8	4	9	6	0.23333	[[ 0.2    0.4    0.467  0.267  0.067  0.133  0.133  0.2  ]]
8	4	11	4	0.24167	[[ 0.067  0.133  0.4    0.4    0.2    0.4    0.067  0.267]]
8	4	12	4	0.22656	[[ 0.188  0.125  0.438  0.312  0.125  0.312  0.188  0.125]]
8	4	9	4	0.20192	[[ 0.077  0.308  0.231  0.231  0.154  0.231  0.154  0.231]]
8	4	13	5	0.29167	[[ 0.167  0.222  0.222  0.389  0.222  0.5    0.167  0.444]]

8	4	14	4	0.24306	[[ 0.278  0.278  0.333  0.167  0.111  0.167  0.222  0.389]]
8	4	14	4	0.29861	[[ 0.167  0.333  0.222  0.222  0.333  0.5    0.222  0.389]]
8	4	11	5	0.17969	[[ 0.062  0.25   0.188  0.312  0.062  0.188  0.125  0.25 ]]
8	4	18	5	0.34783	[[ 0.391  0.348  0.522  0.348  0.174  0.348  0.261  0.391]]
8	4	14	6	0.31875	[[ 0.25  0.5   0.2   0.4   0.35  0.25  0.3   0.3 ]]
8	4	8	4	0.25000	[[ 0.167  0.25   0.333  0.25   0.167  0.25   0.167  0.417]]
8	4	9	5	0.19643	[[ 0.214  0.429  0.143  0.357  0.     0.286  0.     0.143]]
8	4	11	6	0.35294	[[ 0.176  0.294  0.588  0.588  0.294  0.294  0.294  0.294]]
8	4	12	6	0.21528	[[ 0.056  0.111  0.389  0.278  0.167  0.444  0.111  0.167]]
8	4	11	7	0.27778	[[ 0.333  0.278  0.333  0.333  0.111  0.389  0.278  0.167]]
8	4	13	4	0.32353	[[ 0.059  0.353  0.529  0.235  0.294  0.353  0.294  0.471]]
8	4	10	7	0.27941	[[ 0.294  0.235  0.294  0.235  0.353  0.412  0.118  0.294]]
8	4	11	6	0.31618	[[ 0.412  0.412  0.412  0.118  0.235  0.412  0.176  0.353]]
8	4	12	4	0.26562	[[ 0.062  0.188  0.312  0.5    0.25   0.25   0.25   0.312]]
