Index Coding (Basic Antidotes) Log File
2012/07/12 11:37:27

N	PIECES	numTDMA	numIndex	epsAvg	epsVec
8	4	11	7	0.23611	[[ 0.167  0.667  0.333  0.333  0.056  0.056  0.222  0.056]]
8	4	11	16	0.26852	[[ 0.407  0.222  0.185  0.37   0.185  0.333  0.259  0.185]]
8	4	10	7	0.29412	[[ 0.294  0.118  0.294  0.176  0.412  0.412  0.235  0.412]]
8	4	12	8	0.23125	[[ 0.25  0.4   0.2   0.4   0.1   0.25  0.05  0.2 ]]
8	4	9	8	0.24265	[[ 0.176  0.353  0.235  0.353  0.118  0.176  0.294  0.235]]
8	4	10	7	0.27206	[[ 0.353  0.294  0.353  0.353  0.294  0.294  0.118  0.118]]
8	4	10	8	0.25000	[[ 0.111  0.5    0.389  0.222  0.278  0.222  0.167  0.111]]
8	4	14	7	0.23214	[[ 0.381  0.286  0.238  0.286  0.19   0.143  0.095  0.238]]
8	4	11	8	0.20395	[[ 0.158  0.368  0.211  0.368  0.158  0.105  0.105  0.158]]
8	4	14	8	0.20455	[[ 0.273  0.318  0.364  0.273  0.045  0.227  0.045  0.091]]
8	4	13	8	0.28571	[[ 0.286  0.333  0.381  0.238  0.19   0.238  0.286  0.333]]
8	4	9	7	0.17188	[[ 0.188  0.312  0.188  0.188  0.062  0.125  0.25   0.062]]
8	4	13	7	0.31875	[[ 0.3   0.5   0.6   0.45  0.05  0.2   0.35  0.1 ]]
8	4	12	8	0.25625	[[ 0.3   0.45  0.25  0.45  0.1   0.2   0.2   0.1 ]]
8	4	12	8	0.30000	[[ 0.25  0.35  0.25  0.4   0.3   0.25  0.3   0.3 ]]
8	4	15	8	0.29891	[[ 0.522  0.348  0.304  0.435  0.13   0.217  0.261  0.174]]
8	4	14	7	0.27976	[[ 0.476  0.429  0.238  0.286  0.238  0.048  0.333  0.19 ]]
8	4	10	8	0.30556	[[ 0.333  0.278  0.389  0.111  0.333  0.333  0.333  0.333]]
8	4	14	7	0.22619	[[ 0.381  0.381  0.333  0.381  0.048  0.048  0.143  0.095]]
8	4	12	7	0.21711	[[ 0.316  0.158  0.263  0.316  0.105  0.211  0.211  0.158]]
8	4	9	7	0.19531	[[ 0.312  0.375  0.062  0.188  0.125  0.188  0.188  0.125]]
8	4	10	7	0.27941	[[ 0.176  0.647  0.235  0.471  0.118  0.176  0.235  0.176]]
8	4	14	7	0.29167	[[ 0.333  0.571  0.286  0.286  0.238  0.238  0.19   0.19 ]]
8	4	10	8	0.25000	[[ 0.5    0.278  0.222  0.167  0.167  0.222  0.222  0.222]]
8	4	14	7	0.23810	[[ 0.286  0.333  0.286  0.286  0.143  0.238  0.19   0.143]]
8	4	12	16	0.22768	[[ 0.179  0.357  0.321  0.357  0.179  0.179  0.143  0.107]]
8	4	12	7	0.30263	[[ 0.263  0.474  0.316  0.421  0.211  0.158  0.316  0.263]]
8	4	9	7	0.24219	[[ 0.375  0.375  0.25   0.125  0.125  0.25   0.25   0.188]]
8	4	8	7	0.17500	[[ 0.133  0.4    0.133  0.133  0.2    0.067  0.133  0.2  ]]
8	4	8	8	0.23438	[[ 0.312  0.25   0.25   0.312  0.188  0.188  0.25   0.125]]
8	4	12	16	0.25446	[[ 0.357  0.429  0.25   0.286  0.107  0.214  0.179  0.214]]
8	4	10	8	0.22917	[[ 0.278  0.333  0.278  0.333  0.111  0.111  0.167  0.222]]
8	4	12	8	0.28125	[[ 0.35  0.3   0.35  0.5   0.1   0.3   0.15  0.2 ]]
8	4	12	7	0.28289	[[ 0.368  0.368  0.263  0.421  0.211  0.211  0.158  0.263]]
8	4	16	7	0.30435	[[ 0.348  0.478  0.217  0.391  0.304  0.261  0.13   0.304]]
8	4	16	7	0.30435	[[ 0.391  0.261  0.391  0.435  0.391  0.217  0.174  0.174]]
8	4	18	7	0.25000	[[ 0.48  0.24  0.24  0.32  0.24  0.08  0.12  0.28]]
8	4	9	7	0.26562	[[ 0.25   0.375  0.438  0.375  0.125  0.125  0.188  0.25 ]]
8	4	12	7	0.30921	[[ 0.526  0.263  0.368  0.368  0.263  0.158  0.263  0.263]]
8	4	11	7	0.28472	[[ 0.278  0.444  0.389  0.222  0.111  0.278  0.333  0.222]]
8	4	10	8	0.26389	[[ 0.111  0.111  0.333  0.389  0.278  0.333  0.278  0.278]]
8	4	11	7	0.31944	[[ 0.167  0.333  0.278  0.333  0.444  0.333  0.222  0.444]]
8	4	10	8	0.24306	[[ 0.167  0.167  0.278  0.389  0.111  0.444  0.222  0.167]]
8	4	12	8	0.28125	[[ 0.15  0.35  0.3   0.25  0.25  0.3   0.3   0.35]]
8	4	10	8	0.24306	[[ 0.111  0.278  0.222  0.333  0.167  0.278  0.278  0.278]]
8	4	10	9	0.35526	[[ 0.263  0.421  0.474  0.368  0.263  0.421  0.368  0.263]]
8	4	9	7	0.20312	[[ 0.125  0.188  0.25   0.312  0.062  0.375  0.062  0.25 ]]
8	4	15	7	0.23864	[[ 0.136  0.091  0.455  0.318  0.136  0.5    0.091  0.182]]
8	4	8	8	0.18750	[[ 0.062  0.062  0.188  0.25   0.188  0.312  0.188  0.25 ]]
8	4	11	8	0.21053	[[ 0.105  0.105  0.105  0.316  0.263  0.368  0.211  0.211]]
8	4	13	8	0.28571	[[ 0.143  0.286  0.429  0.333  0.429  0.381  0.143  0.143]]
8	4	9	7	0.29688	[[ 0.5    0.188  0.312  0.25   0.375  0.312  0.188  0.25 ]]
8	4	12	8	0.23750	[[ 0.3   0.05  0.35  0.3   0.05  0.25  0.3   0.3 ]]
8	4	13	8	0.26786	[[ 0.143  0.143  0.476  0.476  0.19   0.333  0.19   0.19 ]]
8	4	11	8	0.25000	[[ 0.158  0.263  0.316  0.368  0.053  0.421  0.158  0.263]]
8	4	10	8	0.27083	[[ 0.111  0.278  0.444  0.389  0.111  0.278  0.222  0.333]]
8	4	17	7	0.26562	[[ 0.208  0.292  0.333  0.375  0.125  0.333  0.083  0.375]]
8	4	12	7	0.28947	[[ 0.211  0.105  0.526  0.316  0.316  0.316  0.263  0.263]]
8	4	12	7	0.25000	[[ 0.263  0.105  0.211  0.421  0.211  0.421  0.158  0.211]]
8	4	14	9	0.29891	[[ 0.174  0.435  0.478  0.261  0.174  0.478  0.174  0.217]]
8	4	9	8	0.25000	[[ 0.118  0.353  0.471  0.353  0.118  0.294  0.118  0.176]]
8	4	10	8	0.22917	[[ 0.167  0.278  0.111  0.222  0.222  0.389  0.222  0.222]]
8	4	12	8	0.21875	[[ 0.15  0.1   0.45  0.15  0.15  0.3   0.25  0.2 ]]
8	4	12	8	0.22500	[[ 0.05  0.25  0.3   0.15  0.3   0.3   0.2   0.25]]
8	4	14	7	0.30952	[[ 0.143  0.381  0.476  0.333  0.238  0.524  0.238  0.143]]
8	4	16	7	0.28261	[[ 0.13   0.391  0.391  0.435  0.217  0.174  0.348  0.174]]
8	4	14	7	0.28571	[[ 0.333  0.286  0.238  0.381  0.286  0.286  0.095  0.381]]
8	4	12	8	0.28750	[[ 0.2   0.4   0.35  0.2   0.25  0.45  0.2   0.25]]
8	4	11	7	0.23611	[[ 0.167  0.278  0.333  0.167  0.222  0.389  0.056  0.278]]
8	4	13	7	0.28750	[[ 0.55  0.2   0.25  0.3   0.15  0.3   0.4   0.15]]
8	4	15	7	0.31818	[[ 0.364  0.318  0.364  0.273  0.273  0.227  0.409  0.318]]
8	4	13	7	0.31250	[[ 0.1   0.45  0.35  0.3   0.2   0.5   0.3   0.3 ]]
8	4	9	7	0.19531	[[ 0.125  0.312  0.062  0.188  0.188  0.188  0.062  0.438]]
8	4	15	8	0.17391	[[ 0.13   0.261  0.174  0.217  0.087  0.304  0.174  0.043]]
8	4	9	8	0.25735	[[ 0.118  0.353  0.235  0.176  0.235  0.471  0.235  0.235]]
8	4	9	8	0.27941	[[ 0.353  0.235  0.471  0.471  0.176  0.235  0.235  0.059]]
8	4	10	15	0.27500	[[ 0.28  0.24  0.4   0.32  0.28  0.16  0.24  0.28]]
8	4	11	15	0.25000	[[ 0.231  0.115  0.385  0.308  0.154  0.385  0.154  0.269]]
8	4	9	8	0.22794	[[ 0.176  0.118  0.353  0.294  0.235  0.294  0.235  0.118]]
8	4	12	7	0.18421	[[ 0.105  0.158  0.316  0.211  0.158  0.211  0.053  0.263]]
8	4	11	7	0.29861	[[ 0.167  0.444  0.389  0.278  0.444  0.444  0.167  0.056]]
8	4	8	8	0.21875	[[ 0.062  0.312  0.188  0.25   0.188  0.375  0.125  0.25 ]]
8	4	15	8	0.26087	[[ 0.217  0.261  0.478  0.261  0.217  0.391  0.087  0.174]]
8	4	9	15	0.19792	[[ 0.125  0.125  0.333  0.25   0.25   0.208  0.125  0.167]]
8	4	11	9	0.27500	[[ 0.3   0.3   0.35  0.45  0.25  0.25  0.15  0.15]]
8	4	14	8	0.21591	[[ 0.091  0.182  0.227  0.273  0.273  0.182  0.136  0.364]]
8	4	12	8	0.26875	[[ 0.3   0.1   0.4   0.3   0.25  0.35  0.2   0.25]]
8	4	10	7	0.21324	[[ 0.059  0.118  0.353  0.235  0.294  0.235  0.235  0.176]]
8	4	9	7	0.17188	[[ 0.125  0.25   0.188  0.125  0.062  0.25   0.     0.375]]
8	4	17	8	0.30000	[[ 0.12  0.4   0.32  0.4   0.28  0.28  0.12  0.48]]
8	4	15	7	0.29545	[[ 0.227  0.227  0.591  0.227  0.273  0.318  0.182  0.318]]
8	4	15	8	0.26630	[[ 0.13   0.261  0.391  0.348  0.304  0.348  0.087  0.261]]
8	4	13	8	0.29167	[[ 0.143  0.429  0.238  0.333  0.333  0.381  0.048  0.429]]
8	4	12	7	0.26316	[[ 0.263  0.053  0.263  0.316  0.368  0.263  0.316  0.263]]
8	4	10	7	0.26471	[[ 0.118  0.471  0.412  0.294  0.353  0.176  0.118  0.176]]
8	4	15	8	0.24457	[[ 0.174  0.217  0.261  0.391  0.261  0.261  0.13   0.261]]
8	4	12	7	0.31579	[[ 0.211  0.316  0.632  0.158  0.316  0.474  0.211  0.211]]
8	4	8	7	0.22500	[[ 0.133  0.333  0.267  0.333  0.133  0.2    0.133  0.267]]
8	4	11	8	0.25000	[[ 0.263  0.211  0.368  0.158  0.316  0.368  0.053  0.263]]
8	4	10	8	0.27778	[[ 0.167  0.167  0.389  0.333  0.278  0.389  0.167  0.333]]
8	4	8	7	0.21667	[[ 0.267  0.2    0.067  0.2    0.2    0.4    0.2    0.2  ]]
8	4	15	7	0.25568	[[ 0.136  0.318  0.227  0.182  0.364  0.455  0.091  0.273]]
8	4	11	7	0.23611	[[ 0.111  0.389  0.222  0.389  0.278  0.167  0.111  0.222]]
8	4	11	8	0.25658	[[ 0.053  0.368  0.421  0.211  0.105  0.368  0.158  0.368]]
8	4	10	7	0.13235	[[ 0.     0.059  0.412  0.176  0.176  0.235  0.     0.   ]]
8	4	12	7	0.25658	[[ 0.263  0.211  0.474  0.316  0.211  0.211  0.105  0.263]]
8	4	14	8	0.29545	[[ 0.364  0.182  0.364  0.364  0.182  0.545  0.182  0.182]]
8	4	11	7	0.27083	[[ 0.278  0.167  0.5    0.278  0.167  0.333  0.167  0.278]]
8	4	14	8	0.25568	[[ 0.136  0.409  0.273  0.182  0.409  0.227  0.227  0.182]]
8	4	10	8	0.30556	[[ 0.222  0.278  0.444  0.333  0.111  0.667  0.111  0.278]]
8	4	11	8	0.24342	[[ 0.158  0.316  0.421  0.368  0.158  0.263  0.053  0.211]]
8	4	10	8	0.25694	[[ 0.278  0.333  0.389  0.333  0.167  0.278  0.111  0.167]]
8	4	14	7	0.32143	[[ 0.286  0.333  0.286  0.429  0.381  0.333  0.238  0.286]]
8	4	11	8	0.26316	[[ 0.158  0.211  0.368  0.263  0.368  0.263  0.158  0.316]]
8	4	17	7	0.30729	[[ 0.167  0.375  0.417  0.417  0.333  0.375  0.167  0.208]]
8	4	9	8	0.16176	[[ 0.059  0.118  0.176  0.235  0.176  0.235  0.118  0.176]]
8	4	12	7	0.25658	[[ 0.158  0.316  0.368  0.263  0.316  0.368  0.105  0.158]]
8	4	12	9	0.33929	[[ 0.286  0.429  0.476  0.381  0.143  0.429  0.19   0.381]]
8	4	12	8	0.23750	[[ 0.1   0.25  0.45  0.1   0.25  0.25  0.05  0.45]]
8	4	9	9	0.24306	[[ 0.222  0.222  0.333  0.222  0.222  0.333  0.278  0.111]]
8	4	13	7	0.23125	[[ 0.2   0.2   0.35  0.3   0.1   0.2   0.15  0.35]]
8	4	11	7	0.22222	[[ 0.333  0.222  0.333  0.333  0.056  0.333  0.     0.167]]
8	4	10	7	0.20588	[[ 0.235  0.059  0.412  0.353  0.235  0.235  0.     0.118]]
8	4	11	7	0.24306	[[ 0.278  0.222  0.222  0.222  0.222  0.278  0.222  0.278]]
8	4	13	8	0.22619	[[ 0.143  0.286  0.286  0.19   0.095  0.333  0.143  0.333]]
8	4	10	7	0.29412	[[ 0.294  0.235  0.412  0.235  0.412  0.412  0.118  0.235]]
8	4	11	7	0.23611	[[ 0.278  0.167  0.389  0.111  0.111  0.278  0.222  0.333]]
8	4	11	7	0.24306	[[ 0.056  0.     0.556  0.278  0.333  0.389  0.111  0.222]]
8	4	15	7	0.27273	[[ 0.182  0.227  0.364  0.182  0.182  0.545  0.136  0.364]]
8	4	12	8	0.29375	[[ 0.1   0.35  0.5   0.15  0.25  0.35  0.25  0.4 ]]
8	4	9	7	0.30469	[[ 0.25   0.375  0.438  0.188  0.312  0.25   0.188  0.438]]
8	4	17	8	0.27000	[[ 0.24  0.24  0.36  0.24  0.32  0.32  0.08  0.36]]
8	4	14	7	0.28571	[[ 0.143  0.333  0.238  0.381  0.286  0.333  0.19   0.381]]
8	4	15	7	0.25000	[[ 0.182  0.318  0.318  0.273  0.182  0.455  0.091  0.182]]
8	4	10	8	0.27778	[[ 0.167  0.278  0.444  0.333  0.333  0.389  0.056  0.222]]
8	4	13	8	0.23810	[[ 0.048  0.19   0.286  0.333  0.286  0.381  0.095  0.286]]
8	4	11	9	0.27500	[[ 0.05  0.4   0.35  0.25  0.35  0.3   0.2   0.3 ]]
8	4	10	8	0.27778	[[ 0.167  0.222  0.278  0.333  0.278  0.5    0.167  0.278]]
8	4	9	8	0.26471	[[ 0.235  0.176  0.294  0.235  0.294  0.529  0.118  0.235]]
8	4	10	7	0.22794	[[ 0.235  0.059  0.353  0.235  0.471  0.059  0.235  0.176]]
