Index Coding (Basic Antidotes,spread around the room, Structured) Log File
2012/07/12 16:00:51

N	PIECES	numTDMA	numIndex	epsAvg	epsVec
8	4	11	11	0.34091	[[ 0.318  0.136  0.273  0.227  0.909  0.273  0.364  0.227]]
8	4	14	10	0.36458	[[ 0.417  0.083  0.333  0.25   0.917  0.25   0.333  0.333]]
8	4	12	7	0.34868	[[ 0.632  0.053  0.211  0.211  0.737  0.368  0.158  0.421]]
8	4	11	5	0.25781	[[ 0.312  0.     0.188  0.312  0.375  0.25   0.25   0.375]]
8	4	10	6	0.28125	[[ 0.375  0.125  0.25   0.438  0.125  0.438  0.375  0.125]]
8	4	11	7	0.34722	[[ 0.389  0.111  0.5    0.444  0.111  0.278  0.556  0.389]]
8	4	12	6	0.36111	[[ 0.611  0.222  0.333  0.333  0.111  0.389  0.444  0.444]]
8	4	11	5	0.34375	[[ 0.438  0.188  0.312  0.312  0.625  0.188  0.125  0.562]]
8	4	14	6	0.31875	[[ 0.4   0.15  0.25  0.45  0.5   0.2   0.2   0.4 ]]
8	4	14	7	0.34524	[[ 0.429  0.     0.238  0.476  0.762  0.19   0.143  0.524]]
8	4	22	6	0.41071	[[ 0.5    0.179  0.321  0.357  0.571  0.214  0.571  0.571]]
8	4	15	5	0.36250	[[ 0.45  0.3   0.2   0.45  0.3   0.2   0.35  0.65]]
8	4	11	6	0.24265	[[ 0.294  0.118  0.118  0.294  0.412  0.059  0.118  0.529]]
8	4	8	8	0.32031	[[ 0.5    0.188  0.312  0.438  0.375  0.125  0.125  0.5  ]]
8	4	10	6	0.30469	[[ 0.5    0.125  0.562  0.188  0.25   0.125  0.25   0.438]]
8	4	11	6	0.25735	[[ 0.176  0.059  0.353  0.235  0.706  0.118  0.176  0.235]]
8	4	16	6	0.36364	[[ 0.682  0.182  0.273  0.364  0.364  0.136  0.364  0.545]]
8	4	17	5	0.32386	[[ 0.273  0.182  0.409  0.273  0.455  0.182  0.318  0.5  ]]
8	4	12	5	0.27941	[[ 0.176  0.235  0.294  0.235  0.529  0.118  0.176  0.471]]
