Index Coding (Basic Antidotes) Log File
2012/30/11 16:03:39

N	PIECES	numTDMA	numIndex	epsAvg	epsVec
#things to try for structured and random index coding: normal to tx, circle, semicircle
8	4	11	7	0.31250	[[ 0.056  0.556  0.444  0.333  0.167  0.444  0.333  0.167]]
8	4	16	5	0.30357	[[ 0.048  0.19   0.381  0.381  0.286  0.286  0.476  0.381]]
8	4	13	4	0.26471	[[ 0.059  0.235  0.412  0.118  0.176  0.647  0.294  0.176]]
8	4	10	6	0.27344	[[ 0.125  0.312  0.312  0.25   0.25   0.125  0.312  0.5  ]]
8	4	10	5	0.25833	[[ 0.133  0.333  0.133  0.133  0.4    0.467  0.133  0.333]]
8	4	9	4	0.26923	[[ 0.     0.308  0.462  0.462  0.308  0.077  0.308  0.231]]
8	4	12	6	0.23611	[[ 0.056  0.222  0.556  0.111  0.167  0.389  0.167  0.222]]
8	4	11	5	0.34375	[[ 0.312  0.375  0.438  0.125  0.375  0.25   0.375  0.5  ]]
8	4	12	7	0.30263	[[ 0.105  0.526  0.368  0.263  0.421  0.263  0.263  0.211]]
8	4	12	5	0.29412	[[ 0.118  0.235  0.176  0.176  0.176  0.588  0.412  0.471]]
8	4	13	4	0.25735	[[ 0.118  0.235  0.294  0.294  0.     0.353  0.353  0.412]]
8	4	10	5	0.28333	[[ 0.067  0.267  0.267  0.333  0.267  0.533  0.333  0.2  ]]
8	4	13	6	0.35526	[[ 0.263  0.263  0.579  0.263  0.368  0.632  0.211  0.263]]
8	4	9	6	0.28333	[[ 0.     0.4    0.267  0.267  0.267  0.333  0.267  0.467]]
8	4	12	5	0.31618	[[ 0.059  0.471  0.529  0.294  0.294  0.235  0.235  0.412]]
8	4	11	4	0.28333	[[ 0.067  0.4    0.333  0.4    0.267  0.4    0.267  0.133]]
8	4	15	5	0.38125	[[ 0.1   0.3   0.55  0.45  0.35  0.4   0.6   0.3 ]]
#increase delay to 3???
8	4	9	6	0.20000	[[ 0.133  0.2    0.333  0.133  0.133  0.2    0.2    0.267]]
8	4	13	4	0.30147	[[ 0.118  0.176  0.412  0.412  0.235  0.353  0.294  0.412]]
8	4	16	5	0.35119	[[ 0.095  0.429  0.429  0.333  0.333  0.524  0.286  0.381]]
8	4	11	6	0.28676	[[ 0.118  0.235  0.529  0.235  0.235  0.294  0.353  0.294]]
8	4	11	6	0.27941	[[ 0.118  0.235  0.353  0.353  0.353  0.235  0.294  0.294]]
8	4	11	6	0.30882	[[ 0.235  0.471  0.353  0.235  0.235  0.471  0.235  0.235]]
8	4	18	5	0.29348	[[ 0.087  0.261  0.304  0.348  0.304  0.522  0.174  0.348]]
8	4	10	5	0.23333	[[ 0.067  0.133  0.2    0.2    0.267  0.2    0.333  0.467]]
8	4	11	4	0.37500	[[ 0.267  0.267  0.4    0.4    0.4    0.4    0.333  0.533]]
8	4	14	6	0.28750	[[ 0.15  0.3   0.25  0.4   0.25  0.4   0.2   0.35]]
#not much change, back to 2, low rank random
8	4	15	24	0.30449	[[ 0.179  0.436  0.59   0.205  0.282  0.282  0.256  0.205]]
8	4	12	5	0.27206	[[ 0.059  0.294  0.294  0.294  0.235  0.235  0.235  0.529]]
8	4	12	18	0.30000	[[ 0.133  0.367  0.433  0.133  0.333  0.333  0.167  0.5  ]]
8	4	9	6	0.27500	[[ 0.133  0.267  0.4    0.067  0.333  0.333  0.267  0.4  ]]
8	4	15	8	0.33696	[[ 0.174  0.391  0.348  0.348  0.348  0.304  0.348  0.435]]
8	4	11	5	0.29688	[[ 0.125  0.312  0.25   0.188  0.375  0.5    0.312  0.312]]
8	4	11	22	0.28409	[[ 0.152  0.212  0.242  0.242  0.333  0.364  0.364  0.364]]
8	4	12	6	0.26389	[[ 0.056  0.222  0.444  0.167  0.278  0.278  0.111  0.556]]
8	4	11	39	0.26500	[[ 0.06  0.42  0.52  0.18  0.32  0.26  0.16  0.2 ]]
#full rank random gaussian? still doesnt work... maybe reduce pieces again?
