Index Coding (Basic Antidotes) Log File
2012/30/11 16:03:39

N	PIECES	numTDMA	numIndex	epsAvg	epsVec
#motes normal to tx, structured index
8	4	13	7	0.30000	[[ 0.15  0.35  0.15  0.35  0.35  0.45  0.3   0.3 ]]
8	4	11	6	0.16912	[[ 0.059  0.353  0.     0.118  0.118  0.353  0.294  0.059]]
8	4	11	6	0.27941	[[ 0.118  0.412  0.235  0.235  0.176  0.412  0.412  0.235]]
8	4	8	4	0.22917	[[ 0.333  0.25   0.167  0.167  0.25   0.167  0.25   0.25 ]]
8	4	11	5	0.25000	[[ 0.25   0.375  0.125  0.188  0.062  0.562  0.25   0.188]]
8	4	17	184	0.24565	[[ 0.144  0.219  0.095  0.075  0.109  0.945  0.194  0.184]]
8	4	24	9	0.35227	[[ 0.333  0.242  0.242  0.242  0.273  0.909  0.364  0.212]]
8	4	10	13	0.28804	[[ 0.304  0.217  0.13   0.304  0.13   0.87   0.174  0.174]]
8	4	27	16	0.40116	[[ 0.372  0.419  0.233  0.302  0.279  0.907  0.349  0.349]]
8	4	10	8	0.29167	[[ 0.167  0.222  0.111  0.278  0.111  0.778  0.333  0.333]]
8	4	10	10	0.26875	[[ 0.25  0.35  0.1   0.15  0.1   0.75  0.25  0.2 ]]
8	4	11	6	0.28676	[[ 0.176  0.294  0.176  0.118  0.176  0.588  0.353  0.412]]
8	4	8	6	0.31250	[[ 0.143  0.429  0.071  0.357  0.286  0.714  0.286  0.214]]
8	4	28	8	0.32639	[[ 0.222  0.444  0.167  0.167  0.194  0.806  0.306  0.306]]
8	4	14	88	0.32353	[[ 0.196  0.284  0.137  0.216  0.275  0.98   0.275  0.225]]
8	4	27	25	0.34375	[[ 0.154  0.442  0.192  0.154  0.212  0.923  0.385  0.288]]
8	4	13	53	0.27841	[[ 0.152  0.333  0.091  0.197  0.182  0.97   0.152  0.152]]
8	4	27	6	0.28409	[[ 0.303  0.333  0.121  0.121  0.121  0.758  0.333  0.182]]
8	4	11	17	0.28571	[[ 0.143  0.286  0.107  0.214  0.107  0.893  0.286  0.25 ]]
8	4	12	5	0.33824	[[ 0.235  0.412  0.235  0.235  0.294  0.588  0.412  0.294]]
#circle
8	4	10	6	0.30469	[[ 0.     0.188  0.188  0.562  0.438  0.5    0.5    0.062]]
8	4	9	6	0.15000	[[ 0.     0.133  0.133  0.333  0.067  0.267  0.133  0.133]]
8	4	10	5	0.22500	[[ 0.067  0.4    0.333  0.4    0.2    0.2    0.133  0.067]]
8	4	10	5	0.35000	[[ 0.267  0.333  0.4    0.6    0.2    0.4    0.333  0.267]]
8	4	13	4	0.33824	[[ 0.059  0.471  0.294  0.471  0.353  0.471  0.353  0.235]]
8	4	13	6	0.30263	[[ 0.053  0.368  0.368  0.421  0.316  0.474  0.316  0.105]]
8	4	14	6	0.26875	[[ 0.05  0.45  0.3   0.25  0.25  0.5   0.2   0.15]]
8	4	10	5	0.30833	[[ 0.133  0.533  0.333  0.333  0.467  0.333  0.267  0.067]]
8	4	15	4	0.30263	[[ 0.053  0.421  0.263  0.368  0.474  0.316  0.526  0.   ]]
8	4	10	5	0.19167	[[ 0.067  0.2    0.333  0.267  0.133  0.267  0.2    0.067]]
8	4	11	5	0.29688	[[ 0.25   0.25   0.312  0.125  0.25   0.5    0.438  0.25 ]]
8	4	13	5	0.25000	[[ 0.111  0.333  0.278  0.278  0.167  0.333  0.278  0.222]]
8	4	8	4	0.27083	[[ 0.083  0.25   0.25   0.333  0.5    0.417  0.167  0.167]]
8	4	11	6	0.22794	[[ 0.118  0.235  0.118  0.471  0.353  0.294  0.176  0.059]]
8	4	11	5	0.25781	[[ 0.     0.188  0.25   0.438  0.125  0.312  0.5    0.25 ]]
8	4	9	6	0.22500	[[ 0.     0.4    0.2    0.333  0.267  0.267  0.133  0.2  ]]
8	4	11	5	0.24219	[[ 0.125  0.375  0.     0.375  0.25   0.438  0.25   0.125]]
8	4	9	5	0.23214	[[ 0.     0.286  0.071  0.571  0.286  0.357  0.214  0.071]]
8	4	13	5	0.26389	[[ 0.056  0.278  0.278  0.5    0.333  0.222  0.389  0.056]]
8	4	11	6	0.21324	[[ 0.059  0.294  0.176  0.118  0.118  0.529  0.353  0.059]]
semicircle
8	4	12	4	0.23438	[[ 0.188  0.312  0.188  0.25   0.062  0.312  0.375  0.188]]
8	4	16	4	0.27500	[[ 0.35  0.2   0.35  0.45  0.05  0.4   0.2   0.2 ]]
8	4	13	5	0.27083	[[ 0.278  0.389  0.333  0.5    0.056  0.222  0.278  0.111]]
8	4	12	4	0.27344	[[ 0.125  0.375  0.5    0.312  0.062  0.438  0.312  0.062]]
