Index Coding (Basic Antidotes) Log File
2012/29/11 16:02:29

N	PIECES	numTDMA	numIndex	epsIndex
8	4	12	6	0	
8	4	8	4	0	
8	4	8	7	0	
8	4	8	6	0	
8	4	8	4	0	
8	4	8	5	0	
8	4	9	5	0	
8	4	10	4	0	
8	4	9	12	0.00000	
8	4	8	5	0.00000	
8	4	8	10	0.26250	
8	4	8	5	0.20000	
8	4	8	6	0.18750	
8	4	9	4	0.21875	
8	4	8	4	0.18750	
8	4	9	9	0.25000	
8	4	8	6	0.27083	
8	4	8	9	0.18056	
8	4	12	6	0.20833	
#placed around the room?
8	4	8	17	0.33824	
8	4	16	12	0.37500	
#motes placed around the room, antennas pointed near horizontal
8	4	20	16	0.43750	
8	4	32	7	0.30357	
8	4	28	49	0.45153	
8	4	36	41	0.45732	
8	4	19	10	0.38750	
8	4	16	6	0.20833	
8	4	11	24	0.28646	
8	4	16	54	0.37500	
8	4	43	9	0.48611	
8	4	10	40	0.37812	
8	4	17	38	0.39803	
#sitting between tx and rx here??
8	4	208	272	0.30699	
8	4	253	43	0.34302	
8	4	8	6	0.09821
#now editing erasures	
8	4	10	5	0.34167	
8	4	9	4	0.29808	
8	4	8	5	0.17308	
8	4	16	16	0.32031	
8	4	14	4	0.30556	
8	4	9	5	0.17857	
8	4	11	5	0.25781	
8	4	10	4	0.16964	
8	4	20	5	0.30500	
8	4	13	5	0.22222	
8	4	13	7	0.22500	
8	4	13	4	0.21324	
8	4	13	6	0.26974	
8	4	19	6	0.24500	
8	4	12	6	0.32639	
#rearranged motes
8	4	9	6	0.37500	
8	4	15	5	0.27500	
8	4	13	6	0.27632	
8	4	17	6	0.28261	
8	4	10	5	0.32500	
8	4	15	4	0.27632	
8	4	9	4	0.19231	
8	4	15	6	0.26190	
8	4	8	5	0.20192	
8	4	14	5	0.27632	
8	4	8	4	0.19792	
8	4	16	5	0.25595	
8	4	10	5	0.20833	
8	4	8	4	0.18750	
8	4	13	4	0.22794	
8	4	10	5	0.21667	
8	4	11	5	0.34375	
8	4	11	5	0.19531	
8	4	11	9	0.17500	
8	4	14	4	0.25000	
8	4	14	4	0.26389	
8	4	8	5	0.24038	
8	4	11	5	0.23438	
8	4	10	6	0.24219	
8	4	12	6	0.28472	
8	4	13	5	0.25000	
8	4	13	13	0.25962	
8	4	11	4	0.19167	
8	4	9	4	0.22115	
8	4	9	6	0.20000	
8	4	8	4	0.21875	
8	4	15	6	0.29762	
8	4	12	6	0.25694	
8	4	12	5	0.30147	
8	4	11	5	0.32812	
8	4	14	5	0.28289	
8	4	9	5	0.31250	
8	4	9	6	0.26667	
8	4	9	6	0.26667	
8	4	16	5	0.36905	
8	4	11	4	0.28333	
8	4	11	9	0.25000	
8	4	9	5	0.22321	
8	4	10	5	0.30833	
8	4	9	6	0.21667	
8	4	9	5	0.18750	
8	4	12	4	0.26562	
8	4	12	13	0.32000	
8	4	14	14	0.31696	
8	4	10	11	0.26786	
8	4	15	5	0.30625	
8	4	14	5	0.25658	
8	4	15	6	0.32738	
8	4	15	6	0.19643	
8	4	15	4	0.34211	
8	4	8	5	0.19231	
8	4	15	6	0.22619
#attempt random coefficients
	
8	4	14	6	0.28125	
8	4	16	5	0.25000	
8	4	12	4	0.29688	
8	4	15	6	0.32143	
8	4	14	6	0.21250	
8	4	15	6	0.22619	
8	4	12	6	0.28472	
8	4	10	6	0.28125	
8	4	12	5	0.20588	
8	4	10	6	0.20312	
8	4	12	5	0.26471
#fixed tdma bug??	
8	4	11	4	0.25000	
8	4	13	5	0.29167	
8	4	14	6	0.28125	
8	4	15	6	0.29167	
8	4	11	5	0.22656	
8	4	14	6	0.19375	
8	4	9	4	0.24038	
8	4	10	6	0.21875	
8	4	8	4	0.28125	
8	4	10	5	0.23333	
8	4	9	4	0.20192	
8	4	9	5	0.29464	
8	4	12	4	0.28906	
8	4	15	10	0.27000	
8	4	10	6	0.25000	
8	4	13	10	0.28261	
8	4	9	5	0.16071	
8	4	9	5	0.23214	
8	4	11	6	0.27941	
8	4	14	6	0.31875	
8	4	13	5	0.27778	
8	4	9	5	0.18750	
8	4	8	5	0.24038	
8	4	15	5	0.26250	
8	4	10	5	0.19167	
8	4	13	6	0.33553	
8	4	8	5	0.20192	
8	4	10	21	0.21371	
8	4	14	4	0.27083	
8	4	11	8	0.27632	
8	4	12	8	0.26875	
8	4	10	9	0.30921	
8	4	11	6	0.25735	
8	4	10	5	0.30000	
8	4	15	4	0.23026
#adding epsilon vector	
8	4	11	5	0.27344	[[ 0.312  0.5    0.375  0.25   0.25   0.25   0.188  0.062]]
8	4	12	7	0.20395	[[ 0.368  0.158  0.263  0.316  0.263  0.158  0.053  0.053]]
8	4	9	4	0.24038	[[ 0.462  0.308  0.231  0.385  0.231  0.231  0.077  0.   ]]
8	4	9	5	0.21429	[[ 0.286  0.357  0.143  0.429  0.214  0.214  0.071  0.   ]]
8	4	11	4	0.19167	[[ 0.4    0.2    0.2    0.467  0.067  0.2    0.     0.   ]]
8	4	9	8	0.30147	[[ 0.529  0.412  0.353  0.412  0.176  0.176  0.176  0.176]]
8	4	9	6	0.30833	[[ 0.333  0.4    0.467  0.4    0.4    0.     0.333  0.133]]
8	4	17	5	0.28409	[[ 0.727  0.5    0.273  0.364  0.273  0.091  0.045  0.   ]]
8	4	15	5	0.28750	[[ 0.15  0.3   0.2   0.65  0.4   0.1   0.35  0.15]]
8	4	9	10	0.24342	[[ 0.053  0.421  0.263  0.474  0.316  0.105  0.211  0.105]]
8	4	9	5	0.21429	[[ 0.071  0.214  0.286  0.571  0.214  0.     0.286  0.071]]
8	4	10	5	0.25833	[[ 0.133  0.4    0.4    0.4    0.467  0.067  0.133  0.067]]
8	4	8	4	0.20833	[[ 0.083  0.167  0.25   0.167  0.5    0.083  0.333  0.083]]
8	4	13	5	0.31944	[[ 0.111  0.444  0.556  0.444  0.5    0.111  0.222  0.167]]
8	4	14	6	0.26875	[[ 0.05  0.2   0.6   0.5   0.35  0.15  0.3   0.  ]]
#place in a line parallel to tx
8	4	13	5	0.18056	[[ 0.389  0.278  0.111  0.222  0.167  0.167  0.     0.111]]
8	4	8	6	0.17857	[[ 0.143  0.286  0.286  0.429  0.143  0.071  0.071  0.   ]]
8	4	13	5	0.26389	[[ 0.5    0.389  0.5    0.222  0.333  0.111  0.     0.056]]
8	4	8	6	0.17857	[[ 0.214  0.357  0.143  0.214  0.214  0.143  0.071  0.071]]
8	4	10	6	0.23438	[[ 0.5    0.438  0.25   0.25   0.188  0.062  0.188  0.   ]]
8	4	11	4	0.27500	[[ 0.4    0.533  0.533  0.2    0.4    0.067  0.067  0.   ]]
8	4	11	9	0.26250	[[ 0.45  0.4   0.4   0.25  0.25  0.15  0.15  0.05]]
8	4	13	4	0.21324	[[ 0.412  0.471  0.412  0.118  0.235  0.     0.059  0.   ]]
8	4	13	18	0.20565	[[ 0.323  0.419  0.161  0.323  0.194  0.097  0.129  0.   ]]
8	4	10	5	0.21667	[[ 0.4    0.333  0.2    0.267  0.2    0.133  0.133  0.067]]
#place in a line normal to tx
8	4	10	4	0.24107	[[ 0.214  0.071  0.     0.357  0.357  0.286  0.429  0.214]]
8	4	14	6	0.36875	[[ 0.6   0.25  0.15  0.3   0.5   0.55  0.4   0.2 ]]
#center better
8	4	11	5	0.25781	[[ 0.188  0.188  0.25   0.188  0.188  0.25   0.312  0.5  ]]
8	4	14	7	0.33333	[[ 0.19   0.429  0.476  0.286  0.143  0.524  0.333  0.286]]
8	4	14	6	0.28750	[[ 0.1   0.3   0.4   0.15  0.4   0.45  0.35  0.15]]
8	4	12	8	0.37500	[[ 0.35  0.45  0.4   0.35  0.3   0.45  0.4   0.3 ]]
8	4	9	5	0.21429	[[ 0.071  0.071  0.214  0.143  0.214  0.643  0.286  0.071]]
8	4	9	4	0.23077	[[ 0.077  0.308  0.538  0.077  0.154  0.385  0.154  0.154]]
8	4	12	5	0.24265	[[ 0.059  0.294  0.294  0.176  0.176  0.412  0.353  0.176]]
8	4	11	6	0.30147	[[ 0.118  0.353  0.235  0.176  0.118  0.412  0.588  0.412]]
8	4	10	5	0.24167	[[ 0.067  0.267  0.4    0.267  0.133  0.333  0.333  0.133]]
8	4	13	7	0.33750	[[ 0.1   0.5   0.25  0.35  0.35  0.2   0.4   0.55]]
8	4	10	6	0.24219	[[ 0.188  0.125  0.312  0.25   0.25   0.     0.5    0.312]]
8	4	12	6	0.31250	[[ 0.111  0.333  0.278  0.167  0.222  0.278  0.5    0.611]]
8	4	14	5	0.27632	[[ 0.053  0.053  0.316  0.211  0.211  0.421  0.474  0.474]]
